,,Fraction of people suffering from severe anemia
SC Bhandarbodi,Jul-2015,0.0
SC Bhandarbodi,Aug-2015,0.0
SC Bhandarbodi,Sep-2015,0.0
SC Bhandarbodi,Oct-2015,0.0
SC Bhandarbodi,Nov-2015,0.0
SC Bhandarbodi,Dec-2015,
SC Bhandarbodi,Jan-2016,0.0
SC Bhandarbodi,Feb-2016,0.0
SC Bhandarbodi,Mar-2016,0.0
SC Bhandarbodi,Total,0.3508771929824561
SC Bhanegaon,Apr-2015,0.0
SC Bhanegaon,May-2015,0.0
SC Bhanegaon,Jun-2015,0.0
SC Bhanegaon,Jul-2015,0.0
SC Bhanegaon,Aug-2015,0.0
SC Bhanegaon,Sep-2015,0.0
SC Bhanegaon,Oct-2015,0.0
SC Bhanegaon,Nov-2015,0.0
SC Bhanegaon,Dec-2015,0.0
SC Bhanegaon,Jan-2016,0.0
SC Bhanegaon,Feb-2016,0.0
SC Bhanegaon,Mar-2016,0.0
SC Bhanegaon,Total,0.0
SC Bharsingi,Apr-2015,0.0
SC Bharsingi,May-2015,0.0
SC Bharsingi,Jun-2015,0.0
SC Bharsingi,Jul-2015,0.0
SC Bharsingi,Aug-2015,0.0
SC Bharsingi,Sep-2015,0.0
SC Bharsingi,Oct-2015,0.0
SC Bharsingi,Nov-2015,0.0
SC Bharsingi,Dec-2015,0.0
SC Bharsingi,Jan-2016,0.0
SC Bharsingi,Feb-2016,0.0
SC Bharsingi,Mar-2016,0.0
SC Bharsingi,Total,0.0
SC Bhishnur Jalalkheda,Apr-2015,0.0
SC Bhishnur Jalalkheda,May-2015,0.0
SC Bhishnur Jalalkheda,Jun-2015,0.0
SC Bhishnur Jalalkheda,Jul-2015,0.0
SC Bhishnur Jalalkheda,Aug-2015,0.0
SC Bhishnur Jalalkheda,Sep-2015,0.0
SC Bhishnur Jalalkheda,Oct-2015,0.0
SC Bhishnur Jalalkheda,Nov-2015,0.0
SC Bhishnur Jalalkheda,Dec-2015,0.0
SC Bhishnur Jalalkheda,Jan-2016,0.0
SC Bhishnur Jalalkheda,Feb-2016,0.0
SC Bhishnur Jalalkheda,Mar-2016,0.0
SC Bhishnur Jalalkheda,Total,0.0
SC Bhiwapur,Apr-2015,0.019230769230769232
SC Bhiwapur,May-2015,0.0
SC Bhiwapur,Jun-2015,0.0
SC Bhiwapur,Jul-2015,0.0
SC Bhiwapur,Aug-2015,0.05263157894736842
SC Bhiwapur,Sep-2015,0.0
SC Bhiwapur,Oct-2015,0.0
SC Bhiwapur,Nov-2015,0.0
SC Bhiwapur,Dec-2015,0.0
SC Bhiwapur,Jan-2016,0.0
SC Bhiwapur,Feb-2016,0.1111111111111111
SC Bhiwapur,Mar-2016,0.0
SC Bhiwapur,Total,0.02030456852791878
SC Bhorgad,Apr-2015,0.0
SC Bhorgad,May-2015,0.0
SC Bhorgad,Jun-2015,0.0
SC Bhorgad,Jul-2015,0.0
SC Bhorgad,Aug-2015,0.0
SC Bhorgad,Sep-2015,0.0
SC Bhorgad,Oct-2015,0.0
SC Bhorgad,Nov-2015,0.0
SC Bhorgad,Dec-2015,0.0
SC Bhorgad,Jan-2016,0.0
SC Bhorgad,Feb-2016,0.0
SC Bhorgad,Mar-2016,0.0
SC Bhorgad,Total,0.0
SC Bhugaon,Apr-2015,0.0
SC Bhugaon,May-2015,0.0
SC Bhugaon,Jun-2015,0.0
SC Bhugaon,Jul-2015,0.0
SC Bhugaon,Aug-2015,0.0
SC Bhugaon,Sep-2015,0.0
SC Bhugaon,Oct-2015,0.0
SC Bhugaon,Nov-2015,0.0
SC Bhugaon,Dec-2015,0.0
SC Bhugaon,Jan-2016,0.0
SC Bhugaon,Feb-2016,0.0
SC Bhugaon,Mar-2016,0.0
SC Bhugaon,Total,0.0
SC Bina,Apr-2015,0.0
SC Bina,May-2015,0.0
SC Bina,Jun-2015,0.0
SC Bina,Jul-2015,0.0
SC Bina,Aug-2015,0.0
SC Bina,Sep-2015,0.0
SC Bina,Oct-2015,0.06666666666666667
SC Bina,Nov-2015,0.0
SC Bina,Dec-2015,0.0
SC Bina,Jan-2016,0.0
SC Bina,Feb-2016,0.0
SC Bina,Mar-2016,0.0
SC Bina,Total,0.008130081300813009
SC Bondri,Apr-2015,0.0
SC Bondri,May-2015,0.0
SC Bondri,Jun-2015,0.0
SC Bondri,Jul-2015,0.0
SC Bondri,Aug-2015,0.0
SC Bondri,Sep-2015,0.0
SC Bondri,Oct-2015,0.0
SC Bondri,Nov-2015,0.0
SC Bondri,Dec-2015,0.0
SC Bondri,Jan-2016,0.0
SC Bondri,Feb-2016,0.0
SC Bondri,Mar-2016,0.0
SC Bondri,Total,0.0
SC Borda Mansar,Apr-2015,0.0
SC Borda Mansar,May-2015,0.0
SC Borda Mansar,Jun-2015,0.0
SC Borda Mansar,Jul-2015,0.0
SC Borda Mansar,Aug-2015,0.0
SC Borda Mansar,Sep-2015,0.0
SC Borda Mansar,Oct-2015,0.0
SC Borda Mansar,Nov-2015,0.0
SC Borda Mansar,Dec-2015,0.0
SC Borda Mansar,Jan-2016,0.0
SC Borda Mansar,Feb-2016,0.0
SC Borda Mansar,Mar-2016,0.0
SC Borda Mansar,Total,0.0
SC Bordoha,Apr-2015,0.0
SC Bordoha,May-2015,0.0
SC Bordoha,Jun-2015,0.0
SC Bordoha,Jul-2015,0.0425531914893617
SC Bordoha,Aug-2015,0.0
SC Bordoha,Sep-2015,0.0
SC Bordoha,Oct-2015,0.0
SC Bordoha,Nov-2015,0.0
SC Bordoha,Dec-2015,0.0
SC Bordoha,Jan-2016,0.0
SC Bordoha,Feb-2016,0.0
SC Bordoha,Mar-2016,0.0
SC Bordoha,Total,0.008298755186721992
SC Borgaon Dhapewada,Apr-2015,0.0
SC Borgaon Dhapewada,May-2015,0.0
SC Borgaon Dhapewada,Jun-2015,0.0
SC Borgaon Dhapewada,Jul-2015,0.0
SC Borgaon Dhapewada,Aug-2015,0.0
SC Borgaon Dhapewada,Sep-2015,
SC Borgaon Dhapewada,Oct-2015,0.0
SC Borgaon Dhapewada,Nov-2015,0.0
SC Borgaon Dhapewada,Dec-2015,0.0
SC Borgaon Dhapewada,Jan-2016,0.0
SC Borgaon Dhapewada,Feb-2016,0.0
SC Borgaon Dhapewada,Mar-2016,0.0
SC Borgaon Dhapewada,Total,0.0
SC Borgaon Pachgaon,Apr-2015,0.0
SC Borgaon Pachgaon,May-2015,0.0
SC Borgaon Pachgaon,Jun-2015,0.0
SC Borgaon Pachgaon,Jul-2015,0.0
SC Borgaon Pachgaon,Aug-2015,0.1875
SC Borgaon Pachgaon,Sep-2015,0.0
SC Borgaon Pachgaon,Oct-2015,0.0
SC Borgaon Pachgaon,Nov-2015,0.0
SC Borgaon Pachgaon,Dec-2015,0.0
SC Borgaon Pachgaon,Jan-2016,0.0
SC Borgaon Pachgaon,Feb-2016,0.0
SC Borgaon Pachgaon,Mar-2016,0.0
SC Borgaon Pachgaon,Total,0.022556390977443608
SC Bothali,Apr-2015,0.0
SC Bothali,May-2015,0.0
SC Bothali,Jun-2015,0.0
SC Bothali,Jul-2015,0.0
SC Bothali,Aug-2015,0.0
SC Bothali,Sep-2015,0.0
SC Bothali,Oct-2015,0.0
SC Bothali,Nov-2015,
SC Bothali,Dec-2015,0.0
SC Bothali,Jan-2016,0.0
SC Bothali,Feb-2016,0.0
SC Bothali,Mar-2016,0.0
SC Bothali,Total,0.0
SC Butibori New,Apr-2015,0.0
