,,Fraction of pregnant women registered under JSY
SC Asola Takalghat,Jun-2015,0.0
SC Asola Takalghat,Jul-2015,0.8
SC Asola Takalghat,Aug-2015,0.5
SC Asola Takalghat,Sep-2015,0.16666666666666666
SC Asola Takalghat,Oct-2015,0.4
SC Asola Takalghat,Nov-2015,0.125
SC Asola Takalghat,Dec-2015,0.0
SC Asola Takalghat,Jan-2016,0.6666666666666666
SC Asola Takalghat,Feb-2016,0.42857142857142855
SC Asola Takalghat,Mar-2016,0.3333333333333333
SC Asola Takalghat,Total,0.3114754098360656
SC Avandhi Gunthala,Apr-2015,0.5
SC Avandhi Gunthala,May-2015,0.5555555555555556
SC Avandhi Gunthala,Jun-2015,0.1111111111111111
SC Avandhi Gunthala,Jul-2015,0.3
SC Avandhi Gunthala,Aug-2015,0.0
SC Avandhi Gunthala,Sep-2015,0.2857142857142857
SC Avandhi Gunthala,Oct-2015,0.0
SC Avandhi Gunthala,Nov-2015,0.6666666666666666
SC Avandhi Gunthala,Dec-2015,0.0
SC Avandhi Gunthala,Jan-2016,0.16666666666666666
SC Avandhi Gunthala,Feb-2016,0.2857142857142857
SC Avandhi Gunthala,Mar-2016,0.0
SC Avandhi Gunthala,Total,0.24358974358974358
SC BESUR,Apr-2015,0.3333333333333333
SC BESUR,May-2015,0.2727272727272727
SC BESUR,Jun-2015,0.0
SC BESUR,Jul-2015,0.0
SC BESUR,Aug-2015,0.0
SC BESUR,Sep-2015,0.0
SC BESUR,Oct-2015,0.16666666666666666
SC BESUR,Nov-2015,0.0
SC BESUR,Dec-2015,0.875
SC BESUR,Jan-2016,0.3333333333333333
SC BESUR,Feb-2016,0.0
SC BESUR,Mar-2016,0.3076923076923077
SC BESUR,Total,0.22093023255813954
SC BHAGVANPUR,Apr-2015,0.0
SC BHAGVANPUR,May-2015,1.0
SC BHAGVANPUR,Jun-2015,
SC BHAGVANPUR,Jul-2015,1.0
SC BHAGVANPUR,Aug-2015,0.8
SC BHAGVANPUR,Sep-2015,0.25
SC BHAGVANPUR,Oct-2015,0.75
SC BHAGVANPUR,Nov-2015,1.0
SC BHAGVANPUR,Dec-2015,1.0
SC BHAGVANPUR,Jan-2016,1.0
SC BHAGVANPUR,Feb-2016,1.0
SC BHAGVANPUR,Mar-2016,1.0
SC BHAGVANPUR,Total,0.76
SC Babdev,Apr-2015,0.0
SC Babdev,May-2015,1.0
SC Babdev,Jun-2015,0.5
SC Babdev,Jul-2015,0.7
SC Babdev,Aug-2015,0.625
SC Babdev,Sep-2015,0.3333333333333333
SC Babdev,Oct-2015,0.4
SC Babdev,Nov-2015,0.2857142857142857
SC Babdev,Dec-2015,0.125
SC Babdev,Jan-2016,0.125
SC Babdev,Feb-2016,1.0
SC Babdev,Mar-2016,0.3333333333333333
SC Babdev,Total,0.4342105263157895
SC Badegaon,Apr-2015,0.0
SC Badegaon,May-2015,1.0
SC Badegaon,Jun-2015,1.0
SC Badegaon,Jul-2015,1.0
SC Badegaon,Aug-2015,0.2
SC Badegaon,Sep-2015,0.3333333333333333
SC Badegaon,Oct-2015,
SC Badegaon,Nov-2015,0.6666666666666666
SC Badegaon,Dec-2015,0.75
SC Badegaon,Jan-2016,0.5
SC Badegaon,Feb-2016,0.5
SC Badegaon,Mar-2016,0.3333333333333333
SC Badegaon,Total,0.5306122448979592
SC Bajargaon,Apr-2015,0.4444444444444444
SC Bajargaon,May-2015,0.0
SC Bajargaon,Jun-2015,0.6
SC Bajargaon,Jul-2015,0.2857142857142857
SC Bajargaon,Aug-2015,0.5
SC Bajargaon,Sep-2015,0.25
SC Bajargaon,Oct-2015,0.0
SC Bajargaon,Nov-2015,0.8
SC Bajargaon,Dec-2015,0.5
SC Bajargaon,Jan-2016,0.75
SC Bajargaon,Feb-2016,1.0
SC Bajargaon,Mar-2016,0.15384615384615385
SC Bajargaon,Total,0.44155844155844154
SC Bamhani,Apr-2015,0.2
SC Bamhani,May-2015,1.0
SC Bamhani,Jun-2015,0.25
SC Bamhani,Jul-2015,0.0
SC Bamhani,Aug-2015,0.2
SC Bamhani,Sep-2015,0.5
