,,Fraction of pregnant women registered within 1st trimester
SC Ajani Gumthala,Apr-2015,0.7142857142857143
SC Ajani Gumthala,May-2015,0.5
SC Ajani Gumthala,Jun-2015,0.7
SC Ajani Gumthala,Jul-2015,1.0
SC Ajani Gumthala,Aug-2015,0.8
SC Ajani Gumthala,Sep-2015,0.625
SC Ajani Gumthala,Oct-2015,0.8333333333333334
SC Ajani Gumthala,Nov-2015,1.0
SC Ajani Gumthala,Dec-2015,0.75
SC Ajani Gumthala,Jan-2016,0.5
SC Ajani Gumthala,Feb-2016,0.75
SC Ajani Gumthala,Mar-2016,0.8
SC Ajani Gumthala,Total,0.7083333333333334
SC Ambhora,Apr-2015,1.0
SC Ambhora,May-2015,1.0
SC Ambhora,Jun-2015,1.0
SC Ambhora,Jul-2015,0.6
SC Ambhora,Aug-2015,1.0
SC Ambhora,Sep-2015,1.0
SC Ambhora,Oct-2015,1.0
SC Ambhora,Nov-2015,0.5
SC Ambhora,Dec-2015,1.0
SC Ambhora,Jan-2016,0.8
SC Ambhora,Feb-2016,1.0
SC Ambhora,Mar-2016,0.5
SC Ambhora,Total,0.7878787878787878
SC Amgaon Kanholibara,Apr-2015,0.6666666666666666
SC Amgaon Kanholibara,May-2015,0.6
SC Amgaon Kanholibara,Jun-2015,0.75
SC Amgaon Kanholibara,Jul-2015,0.6666666666666666
SC Amgaon Kanholibara,Aug-2015,1.0
SC Amgaon Kanholibara,Sep-2015,0.4
SC Amgaon Kanholibara,Oct-2015,0.9
SC Amgaon Kanholibara,Nov-2015,0.75
SC Amgaon Kanholibara,Dec-2015,0.8571428571428571
SC Amgaon Kanholibara,Jan-2016,0.75
SC Amgaon Kanholibara,Feb-2016,0.8571428571428571
SC Amgaon Kanholibara,Mar-2016,0.75
SC Amgaon Kanholibara,Total,0.7619047619047619
SC Aptur,Apr-2015,1.0
SC Aptur,May-2015,1.0
SC Aptur,Jun-2015,1.0
SC Aptur,Jul-2015,1.0
SC Aptur,Aug-2015,1.0
SC Aptur,Sep-2015,1.0
SC Aptur,Oct-2015,1.0
SC Aptur,Nov-2015,1.0
SC Aptur,Dec-2015,
SC Aptur,Jan-2016,1.0
SC Aptur,Feb-2016,1.0
SC Aptur,Mar-2016,1.0
SC Aptur,Total,1.0
SC Aroli,Apr-2015,0.2857142857142857
SC Aroli,May-2015,0.5714285714285714
SC Aroli,Jun-2015,1.0
SC Aroli,Jul-2015,1.0
SC Aroli,Aug-2015,1.0
SC Aroli,Sep-2015,1.0
SC Aroli,Oct-2015,1.0
SC Aroli,Nov-2015,0.9090909090909091
SC Aroli,Dec-2015,1.0
SC Aroli,Jan-2016,1.0
SC Aroli,Feb-2016,1.0
SC Aroli,Mar-2016,1.0
SC Aroli,Total,0.8382352941176471
SC Asola Takalghat,Apr-2015,0.5
SC Asola Takalghat,May-2015,1.0
SC Asola Takalghat,Jun-2015,1.0
SC Asola Takalghat,Jul-2015,0.6
SC Asola Takalghat,Aug-2015,0.75
