,,Fraction of newborns having weight less than 2.5 kg
SC Ajani Gumthala,Aug-2015,
SC Ajani Gumthala,Sep-2015,
SC Ajani Gumthala,Oct-2015,
SC Ajani Gumthala,Nov-2015,
SC Ajani Gumthala,Dec-2015,
SC Ajani Gumthala,Jan-2016,
SC Ajani Gumthala,Feb-2016,
SC Ajani Gumthala,Mar-2016,
SC Ajani Gumthala,Total,0.0
SC Ambhora,Apr-2015,
SC Ambhora,May-2015,
SC Ambhora,Jun-2015,
SC Ambhora,Jul-2015,
SC Ambhora,Aug-2015,
SC Ambhora,Sep-2015,0.0
SC Ambhora,Oct-2015,0.0
SC Ambhora,Nov-2015,
SC Ambhora,Dec-2015,0.0
SC Ambhora,Jan-2016,
SC Ambhora,Feb-2016,
SC Ambhora,Mar-2016,
SC Ambhora,Total,0.0
SC Amgaon Kanholibara,Apr-2015,
SC Amgaon Kanholibara,May-2015,
SC Amgaon Kanholibara,Jun-2015,
SC Amgaon Kanholibara,Jul-2015,0.0
SC Amgaon Kanholibara,Aug-2015,0.0
SC Amgaon Kanholibara,Sep-2015,0.25
SC Amgaon Kanholibara,Oct-2015,1.0
SC Amgaon Kanholibara,Nov-2015,0.0
SC Amgaon Kanholibara,Dec-2015,0.0
SC Amgaon Kanholibara,Jan-2016,0.0
SC Amgaon Kanholibara,Feb-2016,
SC Amgaon Kanholibara,Mar-2016,0.0
SC Amgaon Kanholibara,Total,0.1875
SC Aptur,Apr-2015,0.0
SC Aptur,May-2015,
SC Aptur,Jun-2015,
SC Aptur,Jul-2015,
SC Aptur,Aug-2015,
SC Aptur,Sep-2015,
SC Aptur,Oct-2015,0.0
SC Aptur,Nov-2015,0.0
SC Aptur,Dec-2015,
SC Aptur,Jan-2016,
SC Aptur,Feb-2016,0.0
SC Aptur,Mar-2016,
SC Aptur,Total,0.0
SC Aroli,Apr-2015,0.0
SC Aroli,May-2015,
SC Aroli,Jun-2015,0.0
SC Aroli,Jul-2015,0.0
SC Aroli,Aug-2015,0.0
SC Aroli,Sep-2015,0.5
SC Aroli,Oct-2015,0.16666666666666666
SC Aroli,Nov-2015,0.0
SC Aroli,Dec-2015,0.0
SC Aroli,Jan-2016,0.0
SC Aroli,Feb-2016,0.0
SC Aroli,Mar-2016,0.0
SC Aroli,Total,0.06976744186046512
SC Asola Takalghat,Apr-2015,0.0
SC Asola Takalghat,May-2015,
SC Asola Takalghat,Jun-2015,
SC Asola Takalghat,Jul-2015,0.5
SC Asola Takalghat,Aug-2015,
SC Asola Takalghat,Sep-2015,
SC Asola Takalghat,Oct-2015,0.0
SC Asola Takalghat,Nov-2015,
SC Asola Takalghat,Dec-2015,0.0
SC Asola Takalghat,Jan-2016,0.0
SC Asola Takalghat,Feb-2016,0.0
SC Asola Takalghat,Mar-2016,0.0
SC Asola Takalghat,Total,0.1111111111111111
SC Avandhi Gunthala,Apr-2015,
SC Avandhi Gunthala,May-2015,0.0
SC Avandhi Gunthala,Jun-2015,
SC Avandhi Gunthala,Jul-2015,
SC Avandhi Gunthala,Aug-2015,
SC Avandhi Gunthala,Sep-2015,0.0
SC Avandhi Gunthala,Oct-2015,
SC Avandhi Gunthala,Nov-2015,
SC Avandhi Gunthala,Dec-2015,
SC Avandhi Gunthala,Jan-2016,
SC Avandhi Gunthala,Feb-2016,0.0
SC Avandhi Gunthala,Mar-2016,
SC Avandhi Gunthala,Total,0.0
SC BESUR,Apr-2015,0.0
SC BESUR,May-2015,0.0
SC BESUR,Jun-2015,
SC BESUR,Jul-2015,0.0
SC BESUR,Aug-2015,0.0
SC BESUR,Sep-2015,0.0
SC BESUR,Oct-2015,0.0
SC BESUR,Nov-2015,0.0
SC BESUR,Dec-2015,0.0
SC BESUR,Jan-2016,0.0
SC BESUR,Feb-2016,0.0
SC BESUR,Mar-2016,0.0
SC BESUR,Total,0.0
SC BHAGVANPUR,Apr-2015,
SC BHAGVANPUR,May-2015,
SC BHAGVANPUR,Jun-2015,
SC BHAGVANPUR,Jul-2015,
SC BHAGVANPUR,Aug-2015,0.0
SC BHAGVANPUR,Sep-2015,
SC BHAGVANPUR,Oct-2015,
SC BHAGVANPUR,Nov-2015,
SC BHAGVANPUR,Dec-2015,
SC BHAGVANPUR,Jan-2016,
SC BHAGVANPUR,Feb-2016,0.0
SC BHAGVANPUR,Mar-2016,
SC BHAGVANPUR,Total,0.0
SC Babdev,Apr-2015,
SC Babdev,May-2015,
SC Babdev,Jun-2015,0.0
SC Babdev,Jul-2015,
SC Babdev,Aug-2015,0.0
SC Babdev,Sep-2015,0.5
SC Babdev,Oct-2015,0.0
SC Babdev,Nov-2015,0.0
SC Babdev,Dec-2015,0.5
SC Babdev,Jan-2016,
SC Babdev,Feb-2016,
SC Babdev,Mar-2016,
SC Babdev,Total,0.2222222222222222
SC Badegaon,Apr-2015,
SC Badegaon,May-2015,
SC Badegaon,Jun-2015,
SC Badegaon,Jul-2015,
SC Badegaon,Aug-2015,
SC Badegaon,Sep-2015,
SC Badegaon,Oct-2015,
SC Badegaon,Nov-2015,
SC Badegaon,Dec-2015,
SC Badegaon,Jan-2016,
SC Badegaon,Feb-2016,
SC Badegaon,Mar-2016,
SC Badegaon,Total,
SC Bajargaon,Apr-2015,0.0
SC Bajargaon,May-2015,0.0
SC Bajargaon,Jun-2015,0.5
SC Bajargaon,Jul-2015,
SC Bajargaon,Aug-2015,0.3333333333333333
SC Bajargaon,Sep-2015,0.0
SC Bajargaon,Oct-2015,0.0
SC Bajargaon,Nov-2015,
SC Bajargaon,Dec-2015,0.0
SC Bajargaon,Jan-2016,
SC Bajargaon,Feb-2016,0.0
SC Bajargaon,Mar-2016,0.0
SC Bajargaon,Total,0.10526315789473684
SC Bamhani,Apr-2015,
SC Bamhani,May-2015,
SC Bamhani,Jun-2015,0.0
SC Bamhani,Jul-2015,
SC Bamhani,Aug-2015,0.0
SC Bamhani,Sep-2015,
SC Bamhani,Oct-2015,
SC Bamhani,Nov-2015,
SC Bamhani,Dec-2015,0.0
SC Bamhani,Jan-2016,0.0
SC Bamhani,Feb-2016,
SC Bamhani,Mar-2016,
SC Bamhani,Total,0.0
SC Bandra,Apr-2015,0.0
SC Bandra,May-2015,0.0
SC Bandra,Jun-2015,0.5
SC Bandra,Jul-2015,0.0
SC Bandra,Aug-2015,0.0
SC Bandra,Sep-2015,0.0
SC Bandra,Oct-2015,
SC Bandra,Nov-2015,0.0
SC Bandra,Dec-2015,
SC Bandra,Jan-2016,
SC Bandra,Feb-2016,
SC Bandra,Mar-2016,
SC Bandra,Total,0.07692307692307693
SC Bela,Apr-2015,
SC Bela,May-2015,
SC Bela,Jun-2015,
SC Bela,Jul-2015,
SC Bela,Aug-2015,
SC Bela,Sep-2015,
SC Bela,Oct-2015,
SC Bela,Nov-2015,
SC Bela,Dec-2015,
SC Bela,Jan-2016,
SC Bela,Feb-2016,
SC Bela,Mar-2016,
SC Bela,Total,
SC Belda,Apr-2015,0.0
SC Belda,May-2015,0.0
SC Belda,Jun-2015,0.0
SC Belda,Jul-2015,
SC Belda,Aug-2015,0.0
SC Belda,Sep-2015,
SC Belda,Oct-2015,
SC Belda,Nov-2015,0.0
SC Belda,Dec-2015,
SC Belda,Jan-2016,0.0
SC Belda,Feb-2016,
SC Belda,Mar-2016,0.0
SC Belda,Total,0.0
SC Belona,Apr-2015,0.0
SC Belona,May-2015,0.0
SC Belona,Jun-2015,0.0
SC Belona,Jul-2015,0.0
SC Belona,Aug-2015,0.0
SC Belona,Sep-2015,0.0
SC Belona,Oct-2015,0.0
SC Belona,Nov-2015,0.0
SC Belona,Dec-2015,1.0
SC Belona,Jan-2016,0.2
SC Belona,Feb-2016,
SC Belona,Mar-2016,0.0
SC Belona,Total,0.07692307692307693
SC Bhamewada,Apr-2015,
SC Bhamewada,May-2015,
SC Bhamewada,Jun-2015,
SC Bhamewada,Jul-2015,
SC Bhamewada,Aug-2015,
SC Bhamewada,Sep-2015,1.0
SC Bhamewada,Oct-2015,
SC Bhamewada,Nov-2015,
SC Bhamewada,Dec-2015,1.0
SC Bhamewada,Jan-2016,
SC Bhamewada,Feb-2016,0.0
SC Bhamewada,Mar-2016,
SC Bhamewada,Total,0.6666666666666666
SC Bhandarbodi,Apr-2015,
SC Bhandarbodi,May-2015,
SC Bhandarbodi,Jun-2015,
SC Bhandarbodi,Jul-2015,
SC Bhandarbodi,Aug-2015,
SC Bhandarbodi,Sep-2015,
SC Bhandarbodi,Oct-2015,
SC Bhandarbodi,Nov-2015,
SC Bhandarbodi,Dec-2015,
SC Bhandarbodi,Jan-2016,
SC Bhandarbodi,Feb-2016,
SC Bhandarbodi,Mar-2016,
SC Bhandarbodi,Total,
SC Bhanegaon,Apr-2015,
SC Bhanegaon,May-2015,
SC Bhanegaon,Jun-2015,
SC Bhanegaon,Jul-2015,
SC Bhanegaon,Aug-2015,0.0
SC Bhanegaon,Sep-2015,0.0
SC Bhanegaon,Oct-2015,0.0
SC Bhanegaon,Nov-2015,
SC Bhanegaon,Dec-2015,0.0
SC Bhanegaon,Jan-2016,
SC Bhanegaon,Feb-2016,
SC Bhanegaon,Mar-2016,0.0
SC Bhanegaon,Total,0.0
SC Bharsingi,Apr-2015,0.0
SC Bharsingi,May-2015,0.0
SC Bharsingi,Jun-2015,0.125
SC Bharsingi,Jul-2015,0.0
SC Bharsingi,Aug-2015,0.0
SC Bharsingi,Sep-2015,0.0
SC Bharsingi,Oct-2015,0.0
SC Bharsingi,Nov-2015,0.0
SC Bharsingi,Dec-2015,0.0
SC Bharsingi,Jan-2016,0.0
SC Bharsingi,Feb-2016,0.0
SC Bharsingi,Mar-2016,0.0
SC Bharsingi,Total,0.01694915254237288
SC Bhishnur Jalalkheda,Apr-2015,
SC Bhishnur Jalalkheda,May-2015,
SC Bhishnur Jalalkheda,Jun-2015,
SC Bhishnur Jalalkheda,Jul-2015,1.0
SC Bhishnur Jalalkheda,Aug-2015,
SC Bhishnur Jalalkheda,Sep-2015,0.0
SC Bhishnur Jalalkheda,Oct-2015,0.0
SC Bhishnur Jalalkheda,Nov-2015,
SC Bhishnur Jalalkheda,Dec-2015,
SC Bhishnur Jalalkheda,Jan-2016,
SC Bhishnur Jalalkheda,Feb-2016,
